CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate
1,2011-05-31,USD,ARS,1.0
2,2011-05-31,USD,AUD,1.5491
3,2011-05-31,USD,BRL,1.9379
4,2011-05-31,USD,CAD,1.4641
5,2011-05-31,USD,CNY,8.2781
6,2011-05-31,USD,DEM,1.8967
7,2011-05-31,USD,EUR,0.9697
8,2011-05-31,USD,FRF,6.3611
9,2011-05-31,USD,GBP,0.6183
10,2011-05-31,USD,JPY,104.91
11,2011-05-31,USD,MXN,9.374
12,2011-05-31,USD,SAR,3.7507
13,2011-05-31,USD,VEB,634.5099
14,2011-06-01,USD,ARS,1.0
15,2011-06-01,USD,AUD,1.5559
16,2011-06-01,USD,BRL,1.9339
17,2011-06-01,USD,CAD,1.4661
18,2011-06-01,USD,CNY,8.2781
19,2011-06-01,USD,DEM,1.8924
20,2011-06-01,USD,EUR,0.9676
21,2011-06-01,USD,FRF,6.3468
22,2011-06-01,USD,GBP,0.6166
23,2011-06-01,USD,JPY,105.7
24,2011-06-01,USD,MXN,9.3949
25,2011-06-01,USD,SAR,3.7507
26,2011-06-01,USD,VEB,634.25
27,2011-06-02,USD,ARS,1.0
28,2011-06-02,USD,AUD,1.5592
29,2011-06-02,USD,BRL,1.9359
30,2011-06-02,USD,CAD,1.4672
31,2011-06-02,USD,CNY,8.2781
32,2011-06-02,USD,DEM,1.8796
33,2011-06-02,USD,EUR,0.961
34,2011-06-02,USD,FRF,6.3041
35,2011-06-02,USD,GBP,0.6156
36,2011-06-02,USD,JPY,105.53
37,2011-06-02,USD,MXN,9.355
38,2011-06-02,USD,SAR,3.7505
39,2011-06-02,USD,VEB,634.75
40,2011-06-03,USD,ARS,1.0
41,2011-06-03,USD,AUD,1.5645
42,2011-06-03,USD,BRL,1.9295
43,2011-06-03,USD,CAD,1.4672
44,2011-06-03,USD,CNY,8.2783
45,2011-06-03,USD,DEM,1.8811
46,2011-06-03,USD,EUR,0.9617
47,2011-06-03,USD,FRF,6.309
48,2011-06-03,USD,GBP,0.6163
49,2011-06-03,USD,JPY,105.77
50,2011-06-03,USD,MXN,9.346
51,2011-06-03,USD,SAR,3.7492
52,2011-06-03,USD,VEB,635.75
53,2011-06-04,USD,ARS,1.0
54,2011-06-04,USD,AUD,1.5667
55,2011-06-04,USD,BRL,1.9319
56,2011-06-04,USD,CAD,1.464
57,2011-06-04,USD,CNY,8.2784
58,2011-06-04,USD,DEM,1.8978
