ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,SellStartDate,SellEndDate,DiscontinuedDate,ProductDescriptionID,CultureID,ProductCategoryID
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1090,en    ,2
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1451,ar    ,2
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1573,fr    ,2
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1696,th    ,2
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1827,he    ,2
680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1948,zh-cht,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1090,en    ,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1451,ar    ,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1573,fr    ,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1696,th    ,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1827,he    ,2
706,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.31,1431.5,58,CM ,2.24,1,R ,H ,U ,14,2008-04-30,,,1948,zh-cht,2
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1212,en    ,4
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1478,ar    ,4
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1600,fr    ,4
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1723,th    ,4
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1850,he    ,4
707,"Sport-100 Helmet, Red",HL-U509-R,False,True,Red,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1976,zh-cht,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1212,en    ,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1478,ar    ,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1600,fr    ,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1723,th    ,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1850,he    ,4
708,"Sport-100 Helmet, Black",HL-U509,False,True,Black,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1976,zh-cht,4
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1189,en    ,3
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1459,ar    ,3
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1581,fr    ,3
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1704,th    ,3
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1830,he    ,3
709,"Mountain Bike Socks, M",SO-B909-M,False,True,White,4,3,3.3963,9.5,M,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1956,zh-cht,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1189,en    ,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1459,ar    ,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1581,fr    ,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1704,th    ,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1830,he    ,3
710,"Mountain Bike Socks, L",SO-B909-L,False,True,White,4,3,3.3963,9.5,L,,,0,M ,,U ,23,2011-05-31,2012-05-29,,1956,zh-cht,3
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1212,en    ,4
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1478,ar    ,4
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1600,fr    ,4
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1723,th    ,4
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1850,he    ,4
711,"Sport-100 Helmet, Blue",HL-U509-B,False,True,Blue,4,3,13.0863,34.99,,,,0,S ,,,31,2011-05-31,,,1976,zh-cht,4
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1210,en    ,3
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1476,ar    ,3
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1598,fr    ,3
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1721,th    ,3
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1847,he    ,3
712,AWC Logo Cap,CA-1098,False,True,Multi,4,3,6.9223,8.99,,,,0,S ,,U ,19,2011-05-31,,,1974,zh-cht,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1211,en    ,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1477,ar    ,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1599,fr    ,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1722,th    ,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1848,he    ,3
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,False,True,Multi,4,3,38.4923,49.99,S,,,0,S ,,U ,21,2011-05-31,,,1975,zh-cht,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1211,en    ,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1477,ar    ,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1599,fr    ,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1722,th    ,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1848,he    ,3
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,False,True,Multi,4,3,38.4923,49.99,M,,,0,S ,,U ,21,2011-05-31,,,1975,zh-cht,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1211,en    ,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1477,ar    ,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1599,fr    ,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1722,th    ,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1848,he    ,3
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,False,True,Multi,4,3,38.4923,49.99,L,,,0,S ,,U ,21,2011-05-31,,,1975,zh-cht,3
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,False,True,Multi,4,3,38.4923,49.99,XL,,,0,S ,,U ,21,2011-05-31,,,1211,en    ,3
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,False,True,Multi,4,3,38.4923,49.99,XL,,,0,S ,,U ,21,2011-05-31,,,1477,ar    ,3
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,False,True,Multi,4,3,38.4923,49.99,XL,,,0,S ,,U ,21,2011-05-31,,,1599,fr    ,3
