ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,Weight,WeightUnitMeasureCode,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,SellStartDate,SellEndDate,DiscontinuedDate
1,Adjustable Race,AR-5381,False,False,,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
2,Bearing Ball,BA-8327,False,False,,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
3,BB Ball Bearing,BE-2349,True,False,,800,600,0.0,0.0,,,,,1,,,,,2008-04-30,,
4,Headset Ball Bearings,BE-2908,False,False,,800,600,0.0,0.0,,,,,0,,,,,2008-04-30,,
316,Blade,BL-2036,True,False,,800,600,0.0,0.0,,,,,1,,,,,2008-04-30,,
317,LL Crankarm,CA-5965,False,False,Black,500,375,0.0,0.0,,,,,0,,L ,,,2008-04-30,,
318,ML Crankarm,CA-6738,False,False,Black,500,375,0.0,0.0,,,,,0,,M ,,,2008-04-30,,
319,HL Crankarm,CA-7457,False,False,Black,500,375,0.0,0.0,,,,,0,,,,,2008-04-30,,
320,Chainring Bolts,CB-2903,False,False,Silver,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
321,Chainring Nut,CN-6137,False,False,Silver,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
322,Chainring,CR-7833,False,False,Black,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
323,Crown Race,CR-9981,False,False,,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
324,Chain Stays,CS-2812,True,False,,1000,750,0.0,0.0,,,,,1,,,,,2008-04-30,,
325,Decal 1,DC-8732,False,False,,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
326,Decal 2,DC-9824,False,False,,1000,750,0.0,0.0,,,,,0,,,,,2008-04-30,,
327,Down Tube,DT-2377,True,False,,800,600,0.0,0.0,,,,,1,,,,,2008-04-30,,
328,Mountain End Caps,EC-M092,True,False,,1000,750,0.0,0.0,,,,,1,,,,,2008-04-30,,
