SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,PurchaseOrderNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue
43659,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO522145787,29825,279.0,5,985,985,5,,20565.6206,1971.5149,616.0984,23153.2339
43660,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18850127500,29672,279.0,5,921,921,5,,1294.2529,124.2483,38.8276,1457.3288
43661,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18473189620,29734,282.0,6,517,517,5,4.0,32726.4786,3153.7696,985.553,36865.8012
43662,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18444174044,29994,282.0,6,482,482,5,4.0,28832.5289,2775.1646,867.2389,32474.9324
43663,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18009186470,29565,276.0,4,1073,1073,5,,419.4589,40.2681,12.5838,472.3108
43664,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16617121983,29898,280.0,1,876,876,5,,24432.6088,2344.9921,732.81,27510.4109
43665,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16588191572,29580,283.0,1,849,849,5,,14352.7713,1375.9427,429.9821,16158.6961
43666,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16008173883,30052,276.0,4,1074,1074,5,,5056.4896,486.3747,151.9921,5694.8564
43667,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO15428132599,29974,277.0,3,629,629,5,,6107.082,586.1203,183.1626,6876.3649
43668,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14732180295,29614,282.0,6,529,529,5,4.0,35944.1562,3461.7654,1081.8017,40487.7233
43669,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14123169936,29747,283.0,1,895,895,5,,714.7043,70.5175,22.0367,807.2585
